Object Number,Is Highlight,Is Timeline Work,Is Public Domain,Object ID,Gallery Number,Department,AccessionYear,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Constituent ID,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Artist ULAN URL,Artist Wikidata URL,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Object Wikidata URL,Metadata Date,Repository,Tags,Tags AAT URL,Tags Wikidata URL
53.303.3,False,False,False,373022,,Drawings and Prints,1953,Print,From Meteorites,,,,,,9517,Artist, ,Boris Margo,"American, born Ukraine, 1902–1995", ,"Margo, Boris",American,1902      ,1995      ,,http://vocab.getty.edu/page/ulan/500043689,https://www.wikidata.org/wiki/Q50821447,1952,1952,1952,Cellocut,"image: 11 3/4 x 15 3/4 inches (29.8 x 40 cm)
sheet: 15 1/2 x 20 inches (39.4 x 50.8 cm)","The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1953",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/373022,,,"Metropolitan Museum of Art, New York, NY",,,
91.1.589,False,False,True,444589,454,Islamic Art,1891,Basin,Ablutions Basin of Yemeni Sultan al-Mujahid Sayf al-Din 'Ali,,,,,,,,,,,,,,,,,,,ca. 1321–63,1296,1389,Brass; engraved and inlaid with silver and black compound,"H. 8 1/2 in.  (21.6 cm)
Top Diam. 18 3/8 in. (46.5 cm)","Edward C. Moore Collection, Bequest of Edward C. Moore, 1891",Attributed to,,,,Egypt or Syria,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/444589,https://www.wikidata.org/wiki/Q116242744,,"Metropolitan Museum of Art, New York, NY",Flowers,http://vocab.getty.edu/page/aat/300132399,https://www.wikidata.org/wiki/Q506
53.600.751,False,False,False,627373,,Drawings and Prints,1953,Print,"Man's torso and arms, from a series of twenty-two engravings after Guercino's drawing book, Book on the Principles of Drawing, plate 8",,,,,Series of twenty engravings after Guercino's Libro dei disegni,161968980068686,Artist|Artist|Publisher,After| | ,Guercino (Giovanni Francesco Barbieri)|Oliviero Gatti|Giovanni Giacomo De Rossi,"Italian, Cento 1591–1666 Bologna|Italian, active Bologna 1610–30|Italian, Rome 1627–1691 Rome", | | ,"Guercino (Giovanni Francesco Barbieri)|Gatti, Oliviero|Rossi, Giovanni Giacomo De",Italian|Italian|Italian,1591      |1610      |1627      ,1666      |1630      |1691      ,||,http://vocab.getty.edu/page/ulan/500021925|http://vocab.getty.edu/page/ulan/500014091|http://vocab.getty.edu/page/ulan/500353716,https://www.wikidata.org/wiki/Q334262|https://www.wikidata.org/wiki/Q3881870|https://www.wikidata.org/wiki/Q12631500,1619,1619,1619,Engraving,"Mount: 9 11/16 × 20 3/8 in. (24.6 × 51.7 cm)
Sheet: 6 × 8 3/8 in. (15.2 × 21.3 cm)
Plate: 5 11/16 × 8 1/4 in. (14.5 × 21 cm)","Harris Brisbane Dick Fund, 1953",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/627373,,,"Metropolitan Museum of Art, New York, NY",,,
2018.293.4,False,False,False,767911,,The American Wing,2018,Preparatory sketch,Preparatory sketch for paintings depicting the history of the Crown of the Andes,American,,,,,20057,Artist, ,Gordon E. Paxson,"American, 1915–1954", ,"Paxson, Gordon E.",American,1915      ,1954      ,,,,1936,1936,1936,Graphite and watercolor on paper,8 1/2 × 11 in. (21.6 × 27.9 cm),"Gift of Elizabeth A. Paxson, Barbara K. Paxson and Dana W. Paxson, 2017",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/767911,,,"Metropolitan Museum of Art, New York, NY",,,
24.90.1231,False,False,False,421876,,Drawings and Prints,1924,Print,"View of New York, from Jersey City",,,,,,16242910522710587,Engraver|Publisher|Artist, | |After,James Smillie|New York Mirror|John Burford,"American, Edinburgh 1807–1885 Poughkeepsie, New York|1823–1843|British, 1812–1850", | | ,"Smillie, James|New York Mirror|Burford, John",American|American|British,1807      |1823      |1812      ,1885      |1843      |1850      ,||,http://vocab.getty.edu/page/ulan/500020372||,https://www.wikidata.org/wiki/Q55463948||,ca. 1831,1831,1831,Etching and engraving,"Image: 4 1/16 x 6 5/16 in. (10.3 x 16 cm)
Sheet: 5 3/8 x 8 9/16 in. (13.6 x 21.8 cm)","Bequest of Charles Allen Munn, 1924",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/421876,,,"Metropolitan Museum of Art, New York, NY",,,
68.33.34a–c,False,False,True,210039,,European Sculpture and Decorative Arts,1968,Pencil with eraser and lead holder,Pencil with eraser and lead holder (part of a set),Russian,,,,,3838,Maker, ,"S. Mordan & Co., England", , ,"S. Mordan & Co., England", ,          ,          ,,,,1848–49,1848,1849,"Silver, lead",4 7/16 × 7/16 in. (11.3 × 1.1 cm),"Gift of Ralph McAllister Ingersoll, 1968",,,,,,,,,,,,Metalwork-Silver In Combination,,http://www.metmuseum.org/art/collection/search/210039,,,"Metropolitan Museum of Art, New York, NY",,,
1995.237,False,False,False,317740,,"Arts of Africa, Oceania, and the Americas",1995,Panel,Panel,Kuba peoples,,,,,,,,,,,,,,,,,,20th century,1900,2000,Raffia palm fiber,Length 26-1/2 in.,"Estate of E. Clark Stillman, 1995",,,,,Democratic Republic of the Congo,,,,,,Sankuru River region,Textiles-Woven,,http://www.metmuseum.org/art/collection/search/317740,,,"Metropolitan Museum of Art, New York, NY",,,
96.14.495,False,False,True,66219,,Asian Art,1896,Piece,,Japan,Edo (1615–1868),,,,,,,,,,,,,,,,,18th–19th century,1700,1899,Silk,7 x 5 3/4 in. (17.78 x 14.61 cm),"Gift of Mr. and Mrs. H. O. Havemeyer, 1896",,,,,,,,,,,,Textiles-Painted and Printed,,http://www.metmuseum.org/art/collection/search/66219,,,"Metropolitan Museum of Art, New York, NY",Leaves,http://vocab.getty.edu/page/aat/300011892,https://www.wikidata.org/wiki/Q33971
35.65.5,False,False,False,346860,,Drawings and Prints,1935,Book,Umrisse zu Buerger's Balladen,,,,,,7857979316890548656,Author|Illustrator|Editor|Publisher, | | | ,Gottfried August Bürger|Moritz Retzsch|Carl Borromäus von Miltiz|Ernst Fleischer," |German, Dresden 1779–1857 Hoflössnitz bei Dresden|German| "," | | |, Leipzig","Bürger, Gottfried August|Retzsch, Moritz|Miltiz, Carl Borromäus von|Fleischer, Ernest",German|German|German|German,          |1779      |          |          ,          |1857      |          |          ,|||,|http://vocab.getty.edu/page/ulan/500015373||,|https://www.wikidata.org/wiki/Q1948044||,1840,1840,1840,Etchings,Overall: 9 1/4 x 12 13/16 x 3/8 in. (23.5 x 32.5 x 0.9 cm),"Harris Brisbane Dick Fund, 1935",,Leipzig,,,,,,,,,,Books,,http://www.metmuseum.org/art/collection/search/346860,,,"Metropolitan Museum of Art, New York, NY",,,
74.51.182,False,False,True,239767,,Greek and Roman Art,1874,Perfume bottle,Glass perfume bottle,Roman,Early Imperial,,,,,,,,,,,,,,,,,1st century CE,1,99,Glass,"2 1/8 in. (5.5 cm)
Diameter: 1 5/8 x 3/4 in. (4.1 x 1.9 cm)","The Cesnola Collection, Purchased by subscription, 1874–76",,,,,,,,,,,,Glass,,http://www.metmuseum.org/art/collection/search/239767,,,"Metropolitan Museum of Art, New York, NY",,,
1984.1202.58,False,False,False,339170,,Drawings and Prints,1984,Print; Poster,The Inland Printer:  August,,,,,,16206610564,Artist|Publisher, | ,Joseph Christian Leyendecker|The Inland Printer Company,"American (born Germany), Montabaur 1874–1951 New Rochelle, New York|Chicago, Illinois", | ,"Leyendecker, Joseph Christian|Inland Printer Company","American, born Germany|American",1874      |1890      ,1951      |1900      ,|,http://vocab.getty.edu/page/ulan/500014389|,https://www.wikidata.org/wiki/Q565457|,1897,1897,1897,Commercial relief process,Sheet: 16 15/16 × 10 5/16 in. (43.1 × 26.2 cm),"Leonard A. Lauder Collection of American Posters, Gift of Leonard A. Lauder, 1984",,,,,,,,,,,,Prints|Posters,,http://www.metmuseum.org/art/collection/search/339170,,,"Metropolitan Museum of Art, New York, NY",,,
43.42.14,False,False,False,491074,,Modern and Contemporary Art,1943,Textile sample,Sample,American,,,,,14797315250,Maker|Maker, | ,Louis A. Stirn|Edmund A. Stirn,"American (born Germany), Frankfurt-am-Main 1863–1962 Staten Island, New York|American (born Germany ?), 1868– (?)", | ,"Stirn, Louis A.|Stirn, Edmund A.",American| ,1863      |1868      ,1962      |1968      ,|,|,|,1925,1925,1925,"Silk, printed",Dimensions unrecorded,"Gift of Miss M. K. Overbeck, 1943",Object place,New York,,New York,America,Mid-Atlantic,,,,,,Textiles-Printed,,http://www.metmuseum.org/art/collection/search/491074,,,"Metropolitan Museum of Art, New York, NY",,,
2005.100.500.5 (26),False,False,False,679988,,Photographs,2005,Photograph,Malaga,,,,,,548381647736018,Artist|Lithographer|Printer, | | ,Louis de Clercq|H. Jannin|J. Blondeau et Antonin,"French, 1837–1901|French| ", | | ,"de Clercq, Louis|Jannin, H.|J. Blondeau et Antonin",French|French|French,1837      |          |          ,1901      |          |          ,||,http://vocab.getty.edu/page/ulan/500036880||,https://www.wikidata.org/wiki/Q596961||,1860,1860,1860,Albumen silver print from paper negative,Image: 8 1/4 × 30 5/16 in. (21 × 77 cm),"Gilman Collection, Gift of The Howard Gilman Foundation, 2005",,,,,,,,,,,,Photographs,,http://www.metmuseum.org/art/collection/search/679988,,,"Metropolitan Museum of Art, New York, NY",,,
22.76.1,False,False,True,345101,,Drawings and Prints,1922,Book,Ars Moriendi La Historia del iudicio del figliolo de dio Iesu Christo,,,,,,,,,,,,,,,,,,,ca. 1495,1493,1497,,,"Jacob H. Schiff Fund, 1922",,Venice,,,,,,,,,,Books,,http://www.metmuseum.org/art/collection/search/345101,,,"Metropolitan Museum of Art, New York, NY",Women|Jesus|Crucifixion|Christ,http://vocab.getty.edu/page/aat/300025943|http://vocab.getty.edu/page/ia/901000087|http://vocab.getty.edu/page/aat/300404300|http://vocab.getty.edu/page/ia/901000087,https://www.wikidata.org/wiki/Q467|https://www.wikidata.org/wiki/Q302|https://www.wikidata.org/wiki/Q3235597|https://www.wikidata.org/wiki/Q642420
47.2125,False,False,False,414408,,Drawings and Prints,1947,Book,The Howe Exhibition Catalogue of Sewing Machine Cases,,,,,,10531,Author, ,The Howe Machine Co.,"Boston, Massachusetts", ,Howe Machine Co.,American,1850      ,1910      ,,,,late 19th century,1880,1900,Illustrations:wood engraving,7 7/8 x 5 1/2 in. (20 x 14 cm),"Harris Brisbane Dick Fund, 1947",,,,,,,,,,,,Books,,http://www.metmuseum.org/art/collection/search/414408,,,"Metropolitan Museum of Art, New York, NY",,,
31.8.42.14a-d,False,False,True,479154,,Medieval Art,1931,Fragment,Glass Fragments,Coptic,,,,,,,,,,,,,,,,,,4th century,300,399,Glass,Storage (petri dish diam.): 3 7/16 in. (8.8 cm),"Rogers Fund, 1931",Made in,,,Kharga Oasis,Byzantine Egypt,,,,,,,Glass-Vessels,,http://www.metmuseum.org/art/collection/search/479154,,,"Metropolitan Museum of Art, New York, NY",,,
17.3.756–1122,False,False,False,391466,,Drawings and Prints,1917,Print,"Robert Dundas of Arniston, Lord Advocate of Scotland",,,,,,8359610265,Artist|Sitter, |Portrait of,John Kay|Robert Dundas of Arniston,"British, Dalkeith, Scotland 1742–1826 Edinburgh|British (born Scotland), 1758–1819", | ,"Kay, John|Dundas, Robert","British, Scottish|British, Scottish",1742      |1758      ,1826      |1819      ,|,http://vocab.getty.edu/page/ulan/500004452|,https://www.wikidata.org/wiki/Q1556464|,1799,1799,1799,Etching,"image: 3 11/16 x 2 13/16 in. (9.4 x 7.2 cm)
sheet: 5 3/16 x 3 7/8 in. (13.2 x 9.9 cm)","Harris Brisbane Dick Fund, 1917",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/391466,,,"Metropolitan Museum of Art, New York, NY",,,
20.3.258a–d,False,False,False,572199,,Egyptian Art,1920,"Food, leg of beef","Food, leg of beef",,Middle Kingdom,Dynasty 12,"reign of Amenemhat I, early",,,,,,,,,,,,,,,ca. 1981–1975 B.C.,-1981,-1975,"Animal carcas, leg",,"Rogers Fund and Edward S. Harkness Gift, 1920",From,,,,Egypt,"Upper Egypt, Thebes",Southern Asasif,Tomb of Wah (MMA 1102),in front of coffin,"MMA excavations, 1920",,,,http://www.metmuseum.org/art/collection/search/572199,,,"Metropolitan Museum of Art, New York, NY",Food|Ritual Objects,http://vocab.getty.edu/page/aat/300254496|http://vocab.getty.edu/page/aat/300312158,https://www.wikidata.org/wiki/Q2095|https://www.wikidata.org/wiki/Q2820111
1995.268.38,False,False,True,208253,,European Sculpture and Decorative Arts,1995,Plate,Plate,"Austrian, Vienna",,,,,16406,Manufactory, ,Imperial Porcelain Manufactory ,"Vienna, 1744–1864", ,"Imperial Porcelain Manufactory, Vienna", ,1744      ,1864      ,,(not assigned),https://www.wikidata.org/wiki/Q2569078,ca. 1744–49,1739,1754,Hard-paste porcelain,Diameter: 8 7/16 in. (21.4 cm),"The Hans Syz Collection, Gift of Stephan B. Syz and John D. Syz, 1995",,,,,,,,,,,,Ceramics-Porcelain,,http://www.metmuseum.org/art/collection/search/208253,,,"Metropolitan Museum of Art, New York, NY",Flowers,http://vocab.getty.edu/page/aat/300132399,https://www.wikidata.org/wiki/Q506
1975.303.2,False,False,False,109980,,Costume Institute,1975,Hat,Hat,French,,,,,2103316527,Design House|Designer, | ,House of Lanvin|Jeanne Lanvin,"French, founded 1889|French, 1867–1946", | ,"Lanvin, House of|Lanvin, Jeanne",French|French,1889      |1867      ,9999      |1946      ,|Female,http://vocab.getty.edu/page/ulan/500336942|http://vocab.getty.edu/page/ulan/500063579,https://www.wikidata.org/wiki/Q866899|https://www.wikidata.org/wiki/Q272717,1914–20,1914,1920,[no medium available],,"Gift of Elizabeth A. Tilson, 1975",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/109980,,,"Metropolitan Museum of Art, New York, NY",Roses,http://vocab.getty.edu/page/aat/300266246,https://www.wikidata.org/wiki/Q102231
2005.249.7,False,False,True,387478,,Drawings and Prints,2005,Drawing,The Twelve Months,,,,,,9442,Artist, ,Hendrik Meijer,"Dutch, Amsterdam 1744–1793 London", ,"Meijer, Hendrik",Dutch,1744      ,1793      ,,http://vocab.getty.edu/page/ulan/500006485,https://www.wikidata.org/wiki/Q5713984,1772,1772,1772,"Black chalk, brown, black or gray ink and watercolor
",sheet: 5 3/16 x 7 7/16 in. (13.1 x 18.9 cm),"Purchase, Charles and Jessie Price Gift, 2005",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/387478,,,"Metropolitan Museum of Art, New York, NY",Ducks|Windmills|Boys|Men|Boats,http://vocab.getty.edu/page/aat/300250047|http://vocab.getty.edu/page/aat/300006273|http://vocab.getty.edu/page/aat/300247598|http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300178749,https://www.wikidata.org/wiki/Q3736439|https://www.wikidata.org/wiki/Q38720|https://www.wikidata.org/wiki/Q3010|https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q35872
02.18.695,False,False,True,43989,222,Asian Art,1902,Dish,清 玉菊瓣式盤|Dish in the shape of a chrysanthemum flower,China,Qing dynasty (1644–1911),,,,,,,,,,,,,,,,,18th–19th century,1700,1899,Jade (nephrite),H. 1 7/16 in. (3.7 cm); Diam. 6 1/4 in. (15.8 cm),"Gift of Heber R. Bishop, 1902",,,,,,,,,,,,Jade,,http://www.metmuseum.org/art/collection/search/43989,https://www.wikidata.org/wiki/Q116240879,,"Metropolitan Museum of Art, New York, NY",,,
1980.171.5,False,False,False,97849,,Costume Institute,1980,Riding Culottes,Riding culottes,American,,,,,,,,,,,,,,,,,,ca. 1909,1904,1914,cotton,,"The Jacqueline Loewe Fowler Costume Collection, Gift of Jacqueline Loewe Fowler, 1980",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/97849,,,"Metropolitan Museum of Art, New York, NY",,,
10.130.2142,False,False,False,569727,122,Egyptian Art,1910,"Amulet, calf","Amulet, calf",,"New Kingdom, Ramesside",Dynasty 19–20,,,,,,,,,,,,,,,,ca. 1295–1070 B.C.,-1295,-1070,Faience,H. 1 × L. 1.3 cm (3/8 × 1/2 in.),"Gift of Helen Miller Gould, 1910",From,,,,Egypt,,,,,,,,,http://www.metmuseum.org/art/collection/search/569727,https://www.wikidata.org/wiki/Q116442086,,"Metropolitan Museum of Art, New York, NY",,,
1970.659.723,False,False,False,686062,,Photographs,1970,Carte-de-visite,[Auguste Serrure],,,,,,12402,Artist, ,J. Dupont,"Belgian, active 1860s", ,"Dupont, J.",Belgian,1859      ,1870      ,,,,before 1865,1860,1865,Albumen silver print,Approx. 10.2 x 6.3 cm (4 x 2 1/2 in.),"The Albert Ten Eyck Gardner Collection, Gift of the Centennial Committee, 1970",,,,,,,,,,,,Photographs,,http://www.metmuseum.org/art/collection/search/686062,,,"Metropolitan Museum of Art, New York, NY",,,
38.73.5,False,False,True,198107,,European Sculpture and Decorative Arts,1938,Plate,Plate,"British, Brislington",,,,,,,,,,,,,,,,,,ca. 1670–80,1665,1685,Tin-glazed earthenware,Diameter: 10 1/4 in. (26 cm),"Gift of Mr. Russell S. Carter, 1938",,,,,,,,,,,,Ceramics-Pottery,,http://www.metmuseum.org/art/collection/search/198107,,,"Metropolitan Museum of Art, New York, NY",Birds,http://vocab.getty.edu/page/aat/300266506,https://www.wikidata.org/wiki/Q5113
64.101.112,False,False,True,203115,,European Sculpture and Decorative Arts,1964,Group,Two Freemasons,"German, Meissen",,,,,16202016483,Modeler|Manufactory, | ,Johann Joachim Kändler|Meissen Manufactory,"German, Fischbach 1706–1775 Meissen|German, 1710–present", | ,"Kändler, Johann Joachim|Meissen Manufactory",German|German,1706      |1710      ,1775      |9999      ,|,http://vocab.getty.edu/page/ulan/500001959|http://vocab.getty.edu/page/ulan/500054662,https://www.wikidata.org/wiki/Q73593|https://www.wikidata.org/wiki/Q822407,ca. 1744,1739,1749,"Hard-paste porcelain decorated in polychrome enamels, gold",Overall (confirmed): 8 7/8 x 9 3/8 x 6 in. (22.5 x 23.8 x 15.2 cm),"Gift of Irwin Untermyer, 1964",,,,,,,,,,,,Ceramics-Porcelain,,http://www.metmuseum.org/art/collection/search/203115,,,"Metropolitan Museum of Art, New York, NY",Men|Dogs|Globes,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300265714|http://vocab.getty.edu/page/aat/300028089,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q144|https://www.wikidata.org/wiki/Q133792
49.97.606,False,False,True,336822,,Drawings and Prints,1949,Print,Venus Bathing Attended by Nymphs,,,,,,716177199,Artist|Artist, |After,Jean Mignon|Luca Penni,"French, active 1535–ca. 1555|Italian, Florence 1500/1504–1557 Paris", | ,"Mignon, Jean|Penni, Luca",French|Italian,1535      |1500      ,1555      |1557      ,|,http://vocab.getty.edu/page/ulan/500022206|http://vocab.getty.edu/page/ulan/500115489,https://www.wikidata.org/wiki/Q97670813|https://www.wikidata.org/wiki/Q3264994,1535–55,1535,1555,Etching,Sheet (trimmed): 12 1/2 × 9 1/2 in. (31.7 × 24.2 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1949",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/336822,,,"Metropolitan Museum of Art, New York, NY",Women|Nymphs|Venus|Satyrs|Bathing,http://vocab.getty.edu/page/aat/300025943|http://vocab.getty.edu/page/aat/300379159|http://vocab.getty.edu/page/ia/901001064|http://vocab.getty.edu/page/aat/300379732|http://vocab.getty.edu/page/aat/300343854,https://www.wikidata.org/wiki/Q467|https://www.wikidata.org/wiki/Q373916|https://www.wikidata.org/wiki/Q47652|https://www.wikidata.org/wiki/Q163709|https://www.wikidata.org/wiki/Q327651
09.68.354a,False,False,True,218300,,European Sculpture and Decorative Arts,1909,Edging,Edging,French,,,,,,,,,,,,,,,,,,late 18th century,1785,1799,"Needle lace, point d’Alençon","L. 40 x W. 2 inches
101.6 x 5.1 cm","Purchase by subscription, 1909",,,,,,,,,,,,Textiles-Laces,,http://www.metmuseum.org/art/collection/search/218300,,,"Metropolitan Museum of Art, New York, NY",,,
JIB143,False,False,True,57834,,Asian Art,1941,Illustrated book,,Japan,Edo period (1615–1868),,,,1193,Artist, ,Kawanabe Kyōsai 河鍋暁斎,"Japanese, 1831–1889", ,Kawanabe Kyōsai,Japanese,1831      ,1889      ,,http://vocab.getty.edu/page/ulan/500092866,https://www.wikidata.org/wiki/Q2838030,1881,1881,1881,Woodblock printed book; ink and color on paper,8 1/2 x 5 3/4 in. (21.6 x 14.6 cm),"Bequest of W. Gedney Beatty, 1941",,,,,,,,,,,,Illustrated Books,,http://www.metmuseum.org/art/collection/search/57834,,,"Metropolitan Museum of Art, New York, NY",,,
"1991.389.2a, b",False,False,False,98740,,Costume Institute,1991,Earrings,Earrings,French,,,,,2523,Design House, ,Yves Saint Laurent,"French, founded 1961", ,"Saint Laurent, Yves",French,1961      ,9999      ,,http://vocab.getty.edu/page/ulan/500331498,https://www.wikidata.org/wiki/Q2282172,1983,1983,1983,"wood, glass, metal",,"Gift of Katell le Bourhis, 1991",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/98740,,,"Metropolitan Museum of Art, New York, NY",,,
73.8.1,False,False,True,468753,,Medieval Art,1873,Bowl or plate,Bowl or Deep Plate,French,,,,,,,,,,,,,,,,,,19th century (original dated 1330),1330,1330,"Casted silver plate, parcel gilt",Overall: 1 15/16 x 8 1/16 in. (5 x 20.5 cm),"Purchase, 1873",,,,,,,,,,,,Reproductions-Metalwork,,http://www.metmuseum.org/art/collection/search/468753,,,"Metropolitan Museum of Art, New York, NY",,,
1992.388.28,False,False,False,486105,,Modern and Contemporary Art,1992,Drawing,Ground Cover,,,,,,16217,Artist, ,Dennis Oppenheim,"American, Electric City, Washington 1938–2011 New York", ,"Oppenheim, Dennis",American,1938      ,2011      ,,http://vocab.getty.edu/page/ulan/500011050,https://www.wikidata.org/wiki/Q439856,1968,1968,1968,Sepia line print,18 × 24 in. (45.7 × 61 cm),"Anonymous Gift, 1992",,,,,,,,,,,,Drawings,"© Dennis Oppenheim, courtesy Dennis Oppenheim Estate",http://www.metmuseum.org/art/collection/search/486105,,,"Metropolitan Museum of Art, New York, NY",Architecture,http://vocab.getty.edu/page/aat/300263552,https://www.wikidata.org/wiki/Q12271
62.66.13,False,False,True,325392,,Ancient Near Eastern Art,1962,Stamp seal,Stamp seal,Sasanian,Sasanian,,,,,,,,,,,,,,,,,ca. 3rd–7th century CE,200,700,Agate,0.47 x 0.63 x 0.75 in. (1.19 x 1.6 x 1.91 cm),"Anonymous Gift, 1962",,,,,,Iran,,,,,,Stone-Stamp Seals,,http://www.metmuseum.org/art/collection/search/325392,,,"Metropolitan Museum of Art, New York, NY",Animals,http://vocab.getty.edu/page/aat/300249525,https://www.wikidata.org/wiki/Q729
23.34.2(60c),False,False,False,726880,,Drawings and Prints,1923,"Print
Ornament & Architecture",Grotesque Panel,,,,,Petites Grotesques,16364916264,Artist|Artist, |After,Jacques Androuet Du Cerceau|Enea Vico,"French, Paris 1510/12–1585 Annecy|Italian, Parma 1523–1567 Ferrara", | ,"Du Cerceau, Jacques Androuet|Vico, Enea",French|Italian,1510      |1523      ,1585      |1567      ,|,http://vocab.getty.edu/page/ulan/500008202|http://vocab.getty.edu/page/ulan/500011571,https://www.wikidata.org/wiki/Q781934|https://www.wikidata.org/wiki/Q3725198,1562,1562,1562,Etching,Sheet (trimmed): 4 1/8 × 2 3/4 in. (10.5 × 7 cm),"Harris Brisbane Dick Fund, 1923",,,,,,,,,,,,Prints|Ornament & Architecture,,http://www.metmuseum.org/art/collection/search/726880,,,"Metropolitan Museum of Art, New York, NY",,,
63.350.208.145.4.111,False,False,True,646970,,Drawings and Prints,1963,Photograph,"Card Number 36, from the Actors and Actresses series (N145-4) issued by Duke Sons & Co. to promote Cameo Cigarettes",,,,,,10567,Publisher,Issued by,"W. Duke, Sons & Co.","New York and Durham, N.C.", ,"Duke, W. Sons & Co.",American,1870      ,1920      ,,(not assigned),https://www.wikidata.org/wiki/Q66734555,1880s,1880,1889,Albumen photograph,Sheet: 2 11/16 × 1 3/8 in. (6.8 × 3.5 cm),"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",,,,,,,,,,,,Photographs|Ephemera,,http://www.metmuseum.org/art/collection/search/646970,,,"Metropolitan Museum of Art, New York, NY",Portraits|Women|Actresses,http://vocab.getty.edu/page/aat/300015637|http://vocab.getty.edu/page/aat/300025943|http://vocab.getty.edu/page/aat/300025658,https://www.wikidata.org/wiki/Q134307|https://www.wikidata.org/wiki/Q467|https://www.wikidata.org/wiki/Q21169216
46.46.686,False,False,True,752382,,Drawings and Prints,1946,Print,"The cross decorated with instruments of the passion of Christ, two weeping angels below",,,,,,8621,Artist, ,José Guadalupe Posada,"Mexican, 1851–1913", ,"Posada, José Guadalupe",Mexican,1851      ,1913      ,,http://vocab.getty.edu/page/ulan/500032573,https://www.wikidata.org/wiki/Q732526,ca. 1900–1913,1895,1905,Zincograph (photomechanical reproduction?),Sheet: 12 5/8 in. × 9 in. (32 × 22.8 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1946",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/752382,,,"Metropolitan Museum of Art, New York, NY",Angels|Swords|Cross|Jesus|Ladders,http://vocab.getty.edu/page/aat/300379004|http://vocab.getty.edu/page/aat/300037048|http://vocab.getty.edu/page/aat/300235443|http://vocab.getty.edu/page/ia/901000087|http://vocab.getty.edu/page/aat/300022376,https://www.wikidata.org/wiki/Q235113|https://www.wikidata.org/wiki/Q12791|https://www.wikidata.org/wiki/Q40843|https://www.wikidata.org/wiki/Q302|https://www.wikidata.org/wiki/Q168639
1983.479.8,False,False,True,107636,,Costume Institute,1983,Jacket,Jacket,probably French,,,,,,,,,,,,,,,,,,ca. 1860,1855,1865,cotton,,"Gift of Mrs. Frederick van Beuren Joy, in memory of Mrs. Jacob Harsen Halsted, 1983",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/107636,,,"Metropolitan Museum of Art, New York, NY",,,
48.101.1057,False,False,True,742122,,Islamic Art,1948,Fragment,Stucco Fragment,,,,,,,,,,,,,,,,,,,probably 8th–12th century,800,1300,Stucco; carved,"H. 1 9/16 in. (4 cm)
W. 1 3/16 in. (3 cm)
D. 9/16 in. (1.5 cm)","Rogers Fund, 1948",Excavated in,Nishapur,,,Iran,,,,,,,Stucco,,http://www.metmuseum.org/art/collection/search/742122,,,"Metropolitan Museum of Art, New York, NY",,,
41.100.306,False,False,False,372167,,Drawings and Prints,1941,Book,Des Vitruvius Zehn Büches über Architektur,,,,,,75886966539665,Author|Translator|Publisher,Written by|Translated by|Published by,Marcus Pollio Vitruvius|Dr. Franz Reber|Langenscheidtsche,"Roman, active late 1st century BCE|German|German", | | ,"Vitruvius, Marcus|Reber, Franz|Langenscheidtsche",Italian|German|German,-0100     |          |          ,0001      |          |          ,||,(not assigned)||,https://www.wikidata.org/wiki/Q47163||,1917,1917,1917,Printed book,Overall: 6 11/16 x 4 7/8 x 5/8 in. (17 x 12.4 x 1.6 cm),"Bequest of W. Gedney Beatty, 1941",,Berlin,,,,,,,,,,Books,,http://www.metmuseum.org/art/collection/search/372167,,,"Metropolitan Museum of Art, New York, NY",,,
